INFO:Logger:Environment: CartPole-v1
INFO:Logger:Agent: DQN Agent with Prioritized Replay Memory
INFO:Logger:Learning rate: 0.0025
INFO:Logger:Gamma: 0.9
INFO:Logger:Epsilon: 1.0
INFO:Logger:Epsilon decay: 0.001
INFO:Logger:Minimum epsilon: 0.01
INFO:Logger:Device used: cuda
INFO:Logger:[TRAIN][ep 289/1000][TIMESTEP 128]: 128.0
INFO:Logger:[TRAIN][ep 290/1000][TIMESTEP 154]: 154.0
INFO:Logger:[TRAIN][ep 291/1000][TIMESTEP 173]: 173.0
INFO:Logger:[TRAIN][ep 292/1000][TIMESTEP 40]: 40.0
INFO:Logger:[TRAIN][ep 293/1000][TIMESTEP 19]: 19.0
INFO:Logger:[TRAIN][ep 294/1000][TIMESTEP 153]: 153.0
INFO:Logger:[TRAIN][ep 295/1000][TIMESTEP 148]: 148.0
INFO:Logger:[TRAIN][ep 296/1000][TIMESTEP 15]: 15.0
INFO:Logger:[TRAIN][ep 297/1000][TIMESTEP 24]: 24.0
INFO:Logger:[TRAIN][ep 298/1000][TIMESTEP 147]: 147.0
INFO:Logger:[TRAIN][ep 299/1000][TIMESTEP 28]: 28.0
INFO:Logger:[TRAIN][ep 300/1000][TIMESTEP 19]: 19.0
INFO:Logger:[TRAIN][ep 301/1000][TIMESTEP 15]: 15.0
INFO:Logger:[TRAIN][ep 302/1000][TIMESTEP 15]: 15.0
INFO:Logger:[TRAIN][ep 303/1000][TIMESTEP 15]: 15.0
INFO:Logger:[TRAIN][ep 304/1000][TIMESTEP 15]: 15.0
INFO:Logger:[TRAIN][ep 305/1000][TIMESTEP 51]: 51.0
INFO:Logger:[TRAIN][ep 306/1000][TIMESTEP 190]: 190.0
INFO:Logger:[TRAIN][ep 307/1000][TIMESTEP 68]: 68.0
INFO:Logger:[TRAIN][ep 308/1000][TIMESTEP 186]: 186.0
INFO:Logger:[TRAIN][ep 309/1000][TIMESTEP 253]: 253.0
INFO:Logger:[TRAIN][ep 310/1000][TIMESTEP 349]: 349.0
INFO:Logger:[TRAIN][ep 311/1000][TIMESTEP 32]: 32.0
INFO:Logger:[TRAIN][ep 312/1000][TIMESTEP 22]: 22.0
INFO:Logger:[TRAIN][ep 313/1000][TIMESTEP 53]: 53.0
INFO:Logger:[TRAIN][ep 314/1000][TIMESTEP 385]: 385.0
INFO:Logger:[TRAIN][ep 315/1000][TIMESTEP 63]: 63.0
INFO:Logger:[TRAIN][ep 316/1000][TIMESTEP 244]: 244.0
INFO:Logger:[TRAIN][ep 317/1000][TIMESTEP 82]: 82.0
INFO:Logger:[TRAIN][ep 318/1000][TIMESTEP 302]: 302.0
INFO:Logger:[TRAIN][ep 319/1000][TIMESTEP 33]: 33.0
INFO:Logger:[TRAIN][ep 320/1000][TIMESTEP 22]: 22.0
INFO:Logger:[TRAIN][ep 321/1000][TIMESTEP 110]: 110.0
INFO:Logger:[TRAIN][ep 322/1000][TIMESTEP 123]: 123.0
INFO:Logger:[TRAIN][ep 323/1000][TIMESTEP 367]: 367.0
INFO:Logger:[TRAIN][ep 324/1000][TIMESTEP 318]: 318.0
INFO:Logger:[TRAIN][ep 325/1000][TIMESTEP 356]: 356.0
INFO:Logger:[TRAIN][ep 326/1000][TIMESTEP 191]: 191.0
INFO:Logger:[TRAIN][ep 327/1000][TIMESTEP 64]: 64.0
INFO:Logger:[TRAIN][ep 328/1000][TIMESTEP 442]: 442.0
INFO:Logger:[TRAIN][ep 329/1000][TIMESTEP 76]: 76.0
INFO:Logger:[TRAIN][ep 330/1000][TIMESTEP 120]: 120.0
INFO:Logger:[TRAIN][ep 331/1000][TIMESTEP 66]: 66.0
INFO:Logger:[TRAIN][ep 332/1000][TIMESTEP 151]: 151.0
INFO:Logger:[TRAIN][ep 333/1000][TIMESTEP 45]: 45.0
INFO:Logger:[TRAIN][ep 334/1000][TIMESTEP 15]: 15.0
INFO:Logger:[TRAIN][ep 335/1000][TIMESTEP 11]: 11.0
INFO:Logger:[TRAIN][ep 336/1000][TIMESTEP 14]: 14.0
INFO:Logger:[TRAIN][ep 337/1000][TIMESTEP 31]: 31.0
